STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,4/29/17,,,0.01,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,4/30/17,,,2.15,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,5/1/17,,,1.12,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,5/2/17,,,0.28,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,5/3/17,,,0.01,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,5/4/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,5/5/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,5/6/17,,,0.3,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,5/7/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,5/8/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,5/9/17,,,0.61,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,5/10/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,5/11/17,,,1.59,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,5/12/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,5/13/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,5/14/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,5/15/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,5/16/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,5/17/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,5/18/17,,,0.23,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,5/19/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,5/20/17,,,0.29,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,5/21/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,5/22/17,,,0.31,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,5/23/17,,,0.04,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,5/24/17,,,0.51,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,5/25/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,6/6/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,6/7/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,6/8/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,6/9/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,6/10/17,,,0.08,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,6/11/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,6/12/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,6/13/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,6/14/17,,,0.07,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,6/15/17,,,0.7,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,6/16/17,,,0.21,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,6/17/17,,,0.02,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,6/18/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,6/19/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,6/20/17,,,0.13,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,6/21/17,,,0.25,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,6/22/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,6/23/17,,,0.32,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,6/24/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,6/25/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,6/26/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,6/27/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,6/28/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,6/29/17,,,0.33,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,6/30/17,,,0.22,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,7/1/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,7/2/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,7/3/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,7/4/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,7/5/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,7/6/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,7/7/17,,,0.02,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,7/8/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,7/9/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,7/10/17,,,0.51,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,7/11/17,,,0.05,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,7/12/17,,,0.04,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,7/13/17,,,0.76,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,7/14/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,7/15/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,7/16/17,,,0.03,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,7/17/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,7/18/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,7/19/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,7/20/17,,,1.21,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,7/21/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,7/22/17,,,1.03,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,7/23/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,7/24/17,,,0.7,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,7/25/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,7/26/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,7/27/17,,,0.16,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,7/28/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,7/29/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,7/30/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,7/31/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,8/1/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,8/2/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,8/3/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,8/4/17,,,0.83,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,8/5/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,8/6/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,8/7/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,8/8/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,8/9/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,8/10/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,8/11/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,8/12/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,8/13/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,8/14/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,8/15/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,8/16/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,8/17/17,,,0.19,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,8/18/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,8/19/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,8/20/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,8/21/17,,,0.2,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,8/22/17,,,0.33,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,8/23/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,8/24/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,8/25/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,8/26/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,8/27/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,8/28/17,,,0.08,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,8/29/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,8/30/17,,,0.16,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,8/31/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,9/1/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,9/2/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,9/3/17,,,0.14,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,9/4/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,9/5/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,9/6/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,9/7/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,9/8/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,9/9/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,9/10/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,9/11/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,9/12/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,9/13/17,,,0,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,9/14/17,,,0.08,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,9/15/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,9/16/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,9/17/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,9/18/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,9/19/17,,,0.23,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,9/20/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,9/21/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,9/22/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,9/23/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,9/24/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,9/25/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,9/26/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,9/27/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,9/28/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,9/29/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,9/30/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,10/1/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,10/2/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,10/3/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,10/4/17,,,0.05,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,10/5/17,,,0.12,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,10/6/17,,,0.24,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,10/7/17,,,0.17,,,,,,,,,,,,,,,
